customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Veronica Coffey,taylortammy@example.net,Germany,2024-12-06,Premium,77.59
2,Jordan Chambers,christopher60@example.com,United States,2026-03-26,Standard,84.71
3,Alexander Henson,brenda51@example.net,Germany,2026-01-04,Basic,50.75
4,Susan Turner,rose31@example.net,Australia,2024-07-11,Standard,39.84
5,Johnathan Davis,cwilson@example.org,Canada,2020-08-31,Standard,34.96
6,Kimberly Matthews,paulwatson@example.net,India,2023-10-08,Premium,122.38
7,Teresa Ramirez,nicolepena@example.com,United Kingdom,2024-07-23,Standard,25.76
8,Michael Stephens,jeff73@example.com,France,2020-09-13,Standard,34.84
9,Samantha Davis,bruce43@example.org,United Kingdom,2020-12-03,Basic,13.30
10,Gavin Zhang,darleneharper@example.org,Germany,2021-02-20,Standard,15.72
11,Robin Hall,caseyhubbard@example.org,United States,2025-09-06,Standard,19.59
12,Brianna Anderson,kristinacarlson@example.com,Japan,2024-12-15,Standard,75.31
13,Richard Young,lauren10@example.org,United Kingdom,2026-05-16,Standard,42.38
14,Kelly Reese,alfred40@example.org,France,2024-02-19,Standard,112.36
15,Jodi Walker,xwest@example.net,United Kingdom,2023-07-03,Standard,31.20
16,Judith Maynard,acostaregina@example.net,India,2024-01-31,Standard,24.59
17,Katherine Browning,lutzmelanie@example.com,Germany,2023-04-10,Premium,43.83
18,Donald Schultz,lammarc@example.org,United Kingdom,2022-10-03,Standard,36.89
19,Larry Garcia,oscar98@example.com,France,2024-09-20,Standard,58.09
20,Cindy Hayes,farrelldebra@example.net,Brazil,2020-08-26,Standard,54.64
21,Brandon Simmons,robertwilcox@example.com,Australia,2022-08-08,Premium,83.00
22,Bradley Reynolds,nicholas27@example.org,Germany,2024-12-08,Standard,41.23
23,Kristina Santiago,lisa80@example.net,Brazil,2025-06-30,Basic,51.55
24,Michelle Schmitt,qgomez@example.com,Brazil,2023-09-04,Basic,63.32
25,John Boone,michael98@example.org,United Kingdom,2024-08-26,Standard,40.51
26,Renee Bruce,megan51@example.com,United Kingdom,2020-08-20,Standard,58.02
27,Christopher Park,lynchdiane@example.net,Germany,2022-08-31,Standard,106.31
28,Kylie Morales,sandra50@example.org,Brazil,2020-06-02,Standard,66.63
29,Cindy Barnes,joycebonilla@example.org,Germany,2022-07-01,Standard,52.69
30,Sophia Moore,eric45@example.net,Brazil,2025-04-30,Premium,64.64
31,Lawrence Perry,craigjoseph@example.net,United Kingdom,2023-09-12,Premium,21.81
32,Michael Watkins,kariwilson@example.com,Germany,2020-07-05,Standard,42.38
33,Eric Clark,brandon69@example.org,United States,2024-08-19,Premium,81.82
34,Paul Thompson,kathrynroberts@example.org,United Kingdom,2022-10-05,Standard,44.96
35,Mary Gomez,opatel@example.net,Netherlands,2021-11-27,Standard,61.87
36,Thomas Atkins,chensley@example.com,United Kingdom,2024-07-25,Basic,132.86
37,Brian Smith,tberry@example.net,Germany,2023-11-16,Premium,57.63
38,Anita Richard,george97@example.net,India,2022-05-27,Premium,134.91
39,Eric Morgan,ryanmorales@example.org,Japan,2025-03-06,Standard,103.06
40,Jordan Bullock,kimberly18@example.net,Japan,2026-07-06,Basic,127.87
41,Craig Morrison,michael23@example.org,Australia,2025-10-01,Standard,27.36
42,Justin Riley,thompsonkendra@example.com,Australia,2025-07-23,Standard,38.63
43,Jeremy Turner,michelle52@example.com,India,2024-12-22,Standard,104.83
44,Jesse Brown,brittany58@example.org,United States,2021-10-18,Basic,42.81
45,Julie Spencer,chase19@example.net,Netherlands,2020-08-10,Standard,130.02
46,Larry Mason,colelisa@example.net,Canada,2023-01-07,Premium,142.85
47,Mrs. Maria Williams,hayeslisa@example.com,Brazil,2023-08-24,Premium,52.56
48,Helen Hardin,hritter@example.net,India,2026-04-04,Standard,59.32
49,Rachel Holland,vortiz@example.net,France,2026-06-11,Basic,53.44
50,Nathaniel Douglas,riveraangela@example.com,United States,2020-12-29,Premium,48.60
51,Emily Douglas,mathewaguilar@example.org,Australia,2021-02-15,Standard,76.92
52,James Conner,tanderson@example.org,Canada,2024-10-02,Premium,72.15
53,Susan Davis DDS,elizabethcalderon@example.net,Netherlands,2023-09-24,Standard,44.45
54,Ralph Lee,andrew42@example.org,Japan,2024-02-09,Standard,20.84
55,Kimberly Rodgers,ericphillips@example.org,Australia,2021-02-22,Standard,21.77
56,James Martin,stanleynancy@example.net,France,2020-06-03,Basic,24.67
57,Cynthia Wallace,jenniferwilliams@example.com,Canada,2021-09-17,Premium,33.74
58,Vincent Mueller,karen73@example.net,Australia,2025-01-02,Standard,101.49
59,Douglas Reyes,michealvalentine@example.com,Brazil,2023-08-03,Basic,25.52
60,David Davidson,mburch@example.net,Australia,2025-04-05,Standard,53.68
61,Phillip Nelson,angela18@example.org,Brazil,2024-06-02,Standard,37.89
62,Stacey Arias,mariahdavis@example.org,Japan,2023-10-26,Standard,31.13
63,Zachary Brooks,gbrown@example.com,United Kingdom,2024-04-27,Premium,77.05
64,Raven Taylor,florescory@example.net,Netherlands,2024-12-07,Standard,52.09
65,Luis Bullock,samantha72@example.net,Germany,2020-05-13,Standard,103.86
66,Lisa Henderson,scottmary@example.net,Netherlands,2023-02-24,Basic,49.49
67,Riley Bryant,john10@example.org,Japan,2020-05-29,Standard,22.36
68,Jose Allen,copelandvincent@example.net,Brazil,2025-06-12,Standard,17.76
69,Jason Beck,kellysmith@example.com,France,2022-04-12,Standard,28.39
70,Rachel Romero,millsmichael@example.net,United Kingdom,2022-09-26,Basic,29.64
